age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
1.5639018121587953,4,-0.5587716217767399,15,-0.15294541867986605,4,6,3,2,1,0.09242926856027889,1.1092711237259174,-1.642620430574132,39,0
-0.2575871348728994,7,0.30770814146348985,8,-0.15294541867986605,4,1,0,2,1,-0.24901055822643503,1.1092711237259174,-1.0378794497641926,39,1
-1.002741704113138,4,-0.6152254659416846,9,-0.15294541867986605,2,10,3,2,0,-0.08208442068626395,0.012474990314860818,0.7007508700643843,23,1
0.23918257795392667,5,-0.3849432361936166,11,-0.15294541867986605,4,7,2,4,1,-0.17819340896696842,0.3780737014518797,0.7007508700643843,39,0
0.8187472429185563,0,-0.3814435365641756,11,-0.15294541867986605,2,12,0,4,0,-0.2616564777370542,0.012474990314860818,-0.13076797854928254,39,0
-0.34038208701070355,4,1.5610891708599377,11,1.7468196216612892,4,0,1,4,1,0.07219579734328843,1.1092711237259174,-0.886694204561707,39,0
-0.5059719912863121,8,0.9896011832226845,14,0.227007589388365,4,10,1,4,1,-0.06185094946927349,0.3780737014518797,3.4976779063103565,39,1
-0.8371517998375294,7,0.40964811015695396,15,-0.15294541867986605,5,1,3,4,1,-0.16807667335847318,0.19527434588337025,-0.13076797854928254,39,1
1.3155169557453823,2,-0.45081934859167183,12,-0.15294541867986605,4,12,1,4,1,-0.006208903622549946,1.1092711237259174,-1.2646573175679197,39,0
-1.085536656250942,4,-0.6314975736204536,11,0.227007589388365,6,1,0,4,1,-0.20348524798820672,0.3780737014518797,0.7763434926656267,39,0
0.07359267367831762,1,-0.027834284831614577,15,0.9869136055248271,4,10,4,4,1,-0.14278483433723532,-0.3531237208221583,1.4566770960768096,39,0
1.2327220036075779,4,-1.6167477698689523,9,-0.15294541867986605,4,13,1,3,1,0.12277947538576413,0.3780737014518797,2.061418076886749,16,1
0.8187472429185563,4,-0.33059320006802284,1,-0.15294541867986605,4,10,3,4,1,-0.008738087524673416,-0.7187224319591772,1.9858254542855063,39,1
-0.5059719912863121,4,-0.3582318535518139,15,-2.052710459021021,0,1,1,2,0,0.21635927976434513,0.743672412588899,2.061418076886749,39,1
-0.009202278459486384,4,-0.14988506307659635,11,0.9869136055248271,2,4,3,4,0,-0.23636463871581634,0.19527434588337025,2.666159057696689,39,1
2.971415998501469,4,0.4018709998693068,10,-0.15294541867986605,4,0,1,4,1,0.23153438317708774,-0.5359230763906677,-1.4158425627704045,39,1
-0.42317703914850785,4,0.5048279752926941,11,0.9869136055248271,4,5,1,2,0,-0.15290156994573056,0.19527434588337025,3.044122170702901,39,0
-1.1683316083887463,4,2.362919212170549,11,1.366866613593058,4,4,4,4,1,0.1935966246452312,0.19527434588337025,0.7007508700643843,39,0
-0.5059719912863121,6,-0.025710535483834042,11,-2.4326634670892524,4,8,1,1,1,-0.021384007035292567,0.743672412588899,-0.13076797854928254,26,1
2.391851333536839,1,-1.4306754209098929,11,-0.15294541867986605,6,3,3,1,0,0.011495383692317045,0.743672412588899,-0.13076797854928254,39,0
0.6531573386429477,7,-0.3381509559629411,1,0.606960597456596,4,10,3,2,1,-0.17313504116272102,0.012474990314860818,-0.13076797854928254,39,1
0.9843371471941653,4,2.3771672770436862,11,-0.15294541867986605,4,0,3,4,0,-0.14531401823935924,0.012474990314860818,-0.13076797854928254,39,0
-0.2575871348728994,4,-0.338440104935174,15,-0.15294541867986605,4,10,0,4,1,-0.011267271426797785,-0.5359230763906677,-0.13076797854928254,39,0
-0.6715618955619206,4,-1.205637755278879,15,-0.15294541867986605,4,10,1,1,0,-0.011267271426797785,0.012474990314860818,0.3227877570581725,39,0
-1.4167164648021593,4,-0.02447417436118236,11,1.7468196216612892,0,6,1,4,1,-0.2692440294434255,-0.3531237208221583,-0.2063606011505249,35,1
-0.7543568476997249,7,-0.29275456732235594,15,-0.15294541867986605,5,14,0,1,0,-0.03908829435015956,-0.3531237208221583,-1.491435185371647,30,0
-0.17479218273509492,4,-0.2921064747983853,1,-0.15294541867986605,4,4,5,4,1,-0.13266809872873966,0.3780737014518797,-0.886694204561707,39,0
-0.8371517998375294,4,2.39504466005106,6,0.606960597456596,0,10,3,4,0,-0.22877708700944457,0.3780737014518797,-0.13076797854928254,39,1
-1.1683316083887463,7,0.028898737651348223,9,-0.15294541867986605,6,7,3,4,1,-0.20854361579245412,0.3780737014518797,0.7007508700643843,9,0
-1.3339215126643549,2,-1.548119756907576,11,-0.15294541867986605,2,0,1,2,0,-0.24395219042218763,0.5608730570203894,-0.13076797854928254,26,0
0.5703623865051437,4,-1.5157649839801217,15,-0.15294541867986605,2,0,1,4,1,-0.21613116749882588,-0.9015217875276869,-0.13076797854928254,39,0
0.6531573386429477,4,-0.14568741765211002,0,1.7468196216612892,2,7,1,4,1,-0.2009560640860828,0.19527434588337025,-0.13076797854928254,39,1
-1.002741704113138,4,-0.6256148876336435,9,1.7468196216612892,0,10,3,2,1,9.237958258639964,0.9264717681574083,-0.13076797854928254,39,0
0.6531573386429477,1,1.3803411512516517,11,-2.8126164751574834,2,12,0,4,0,-0.0441466621544065,-0.7187224319591772,-1.1890646949666772,39,0
-1.085536656250942,4,0.6089415466050134,15,-0.15294541867986605,4,7,3,2,1,-0.0694385011756448,1.1092711237259174,-0.13076797854928254,39,0
